countrycode,country,year,gdppc,log_gdppc
DEU,Germany,1856,2440,7.79975331828725
DEU,Germany,1857,2541,7.84031298332016
DEU,Germany,1858,2509,7.82763954636642
DEU,Germany,1859,2495,7.82204400818562
DEU,Germany,1860,2613,7.86825426552061
DEU,Germany,1861,2523,7.83320394864106
DEU,Germany,1862,2622,7.87169266432365
DEU,Germany,1863,2788,7.93307977188042
DEU,Germany,1864,2837,7.95050243480885
DEU,Germany,1865,2821,7.944846711002
DEU,Germany,1866,2823,7.94555542825349
DEU,Germany,1867,2815,7.94271754057379
DEU,Germany,1868,2966,7.99496952269788
DEU,Germany,1869,2965,7.99463231143183
DEU,Germany,1870,2931,7.98309894071089
DEU,Germany,1871,2896,7.97108575350561
DEU,Germany,1872,3078,8.03203531439882
DEU,Germany,1873,3186,8.06652149046999
DEU,Germany,1874,3386,8.12740456269308
DEU,Germany,1875,3366,8.12148037475075
DEU,Germany,1876,3301,8.10198073185319
DEU,Germany,1877,3241,8.08363720314155
DEU,Germany,1878,3352,8.11731246160198
DEU,Germany,1879,3234,8.08147504013705
DEU,Germany,1880,3174,8.06274790108635
DEU,Germany,1881,3228,8.07961802938984
DEU,Germany,1882,3258,8.08886878916199
DEU,Germany,1883,3416,8.13622555490846
DEU,Germany,1884,3472,8.15248607578024
DEU,Germany,1885,3532,8.16961956172385
DEU,Germany,1886,3524,8.16735198705607
DEU,Germany,1887,3626,8.1958853913148
DEU,Germany,1888,3732,8.22469956196724
DEU,Germany,1889,3792,8.24064886337491
DEU,Germany,1890,3870,8.26100978602383
DEU,Germany,1891,3821,8.2482674474469
DEU,Germany,1892,3936,8.27792025817214
DEU,Germany,1893,4089,8.31605572036464
DEU,Germany,1894,4141,8.32869258354557
DEU,Germany,1895,4281,8.36194190614495
DEU,Germany,1896,4368,8.38206051742474
DEU,Germany,1897,4423,8.39457347786833
DEU,Germany,1898,4540,8.42068229103539
DEU,Germany,1899,4631,8.44052810648075
DEU,Germany,1900,4758,8.4675826908629
DEU,Germany,1901,4576,8.42858053305963
DEU,Germany,1902,4611,8.43620003220671
DEU,Germany,1903,4795,8.47532898731754
DEU,Germany,1904,4914,8.49984355308112
DEU,Germany,1905,4948,8.50673873351238
