Location,Population,Total in km2 (mi2),Population Density
Palau,16733,459.0,36.45533769063181
Anguilla (UK),16010,91.0,175.93406593406593
Nauru,11680,21.0,556.1904761904761
Wallis and Futuna (France),11620,142.0,81.83098591549296
Tuvalu,10643,25.0,425.72
Saint Barthélemy (France),10562,22.0,480.09090909090907
Saint Pierre and Miquelon (France),5819,242.0,24.045454545454547
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,394.0,14.342639593908629
Montserrat (UK),4386,103.0,42.58252427184466
Falkland Islands (UK),3662,12173.0,0.3008297050850242
Tokelau (New Zealand),2608,12.0,217.33333333333334
Norfolk Island (Australia),2188,36.0,60.77777777777778
Christmas Island (Australia),1692,135.0,12.533333333333333
Vatican City,882,0.49,1800.0
Cocos (Keeling) Islands (Australia),593,14.0,42.357142857142854
Pitcairn Islands (UK),35,47.0,0.7446808510638298
