Country,Year-Month,Negative_Price_Hours
Germany,2025-06,127
Germany,2025-07,8
Germany,2025-08,47
Germany,2025-09,51
Germany,2025-10,44
Greece,2020-12,2
Greece,2021-02,5
Greece,2022-12,1
Greece,2024-04,11
Greece,2025-04,5
Greece,2025-05,7
Greece,2025-08,45
Greece,2025-10,20
Hungary,2016-02,3
Hungary,2016-05,3
Hungary,2018-01,2
Hungary,2020-03,1
Hungary,2020-04,3
Hungary,2021-05,8
Hungary,2023-01,2
Hungary,2023-04,1
Hungary,2023-05,24
Hungary,2023-06,15
Hungary,2023-07,13
Hungary,2023-08,6
Hungary,2023-09,3
Hungary,2023-10,2
Hungary,2023-12,8
Hungary,2024-03,6
Hungary,2024-04,48
Hungary,2024-05,77
Hungary,2024-06,52
Hungary,2024-07,36
Hungary,2024-08,21
Hungary,2024-09,9
Hungary,2024-10,13
Hungary,2025-03,10
Hungary,2025-04,70
Hungary,2025-05,76
Hungary,2025-06,53
Hungary,2025-07,5
Hungary,2025-08,43
Ireland,2019-01,4
Ireland,2019-02,19
Ireland,2019-03,22
Ireland,2019-04,2
Ireland,2019-06,3
Ireland,2019-09,6
Ireland,2019-10,14
Ireland,2019-11,5
Ireland,2019-12,46
Ireland,2020-01,35
Ireland,2020-02,56
Ireland,2020-03,25
Ireland,2020-04,32
Ireland,2020-05,41
Ireland,2020-06,32
Ireland,2020-07,19
Ireland,2020-08,19
Ireland,2020-09,11
Ireland,2020-10,41
Ireland,2020-11,49
Ireland,2020-12,22
Ireland,2021-02,57
Ireland,2021-03,17
Ireland,2021-05,15
Ireland,2022-01,19
Ireland,2022-02,14
Ireland,2022-10,5
Ireland,2022-11,4
Ireland,2022-12,9
Ireland,2023-01,3
Ireland,2023-09,14
Ireland,2023-12,31
Ireland,2024-04,29
Ireland,2024-08,2
Ireland,2024-09,2
Ireland,2024-11,7
Ireland,2025-05,16
Ireland,2025-06,4
Ireland,2025-09,12
Ireland,2025-10,26
Netherlands,2019-06,2
Netherlands,2019-12,1
Netherlands,2020-02,2
Netherlands,2020-03,13
Netherlands,2020-04,27
Netherlands,2020-05,21
Netherlands,2020-06,4
Netherlands,2020-07,18
Netherlands,2020-09,4
Netherlands,2020-10,3
Netherlands,2020-11,5
Netherlands,2021-02,3
Netherlands,2021-03,14
Netherlands,2021-04,7
Netherlands,2021-05,21
Netherlands,2021-06,6
Netherlands,2021-07,5
Netherlands,2021-08,9
Netherlands,2021-10,5
Netherlands,2022-01,4
Netherlands,2022-03,8
Netherlands,2022-04,17
Netherlands,2022-05,19
Netherlands,2022-06,12
Netherlands,2022-07,9
Netherlands,2022-08,4
Netherlands,2022-10,2
Netherlands,2022-12,11
Netherlands,2023-01,8
Netherlands,2023-03,20
Netherlands,2023-04,27
Netherlands,2023-05,49
Netherlands,2023-06,22
Netherlands,2023-07,65
Netherlands,2023-08,20
Netherlands,2023-09,23
Netherlands,2023-10,37
Netherlands,2023-12,44
Netherlands,2024-01,13
Netherlands,2024-03,17
Netherlands,2024-04,62
Netherlands,2024-05,74
Netherlands,2024-06,67
Netherlands,2024-07,81
Netherlands,2024-08,80
Netherlands,2024-09,33
Netherlands,2024-10,18
Netherlands,2024-11,9
Netherlands,2024-12,4
Netherlands,2025-03,52
Netherlands,2025-04,84
Netherlands,2025-05,145
Netherlands,2025-06,127
Netherlands,2025-07,12
Netherlands,2025-08,57
Netherlands,2025-10,46
Norway,2020-11,2
Norway,2022-11,7
Norway,2023-05,19
Norway,2023-06,5
Norway,2023-07,31
Norway,2023-08,35
Norway,2023-09,61
Norway,2023-10,47
Norway,2024-04,4
Norway,2024-05,12
Norway,2024-06,12
Norway,2024-07,6
Norway,2024-08,35
Norway,2024-09,2
Poland,2023-06,5
Poland,2023-10,25
Poland,2023-12,13
Poland,2024-04,15
Poland,2024-05,31
Poland,2024-06,19
Poland,2024-07,28
Poland,2024-08,39
Poland,2024-09,26
Poland,2024-10,20
Poland,2024-11,11
Poland,2024-12,8
Poland,2025-01,11
Poland,2025-03,44
Poland,2025-04,75
Poland,2025-05,49
Poland,2025-06,72
Poland,2025-07,5
Poland,2025-08,36
Poland,2025-10,4
Portugal,2024-04,100
Portugal,2024-05,27
Portugal,2024-06,41
Portugal,2024-07,22
Portugal,2024-08,3
Portugal,2024-10,3
Portugal,2025-03,21
Portugal,2025-04,104
Portugal,2025-05,4
Portugal,2025-06,10
Portugal,2025-07,13
Portugal,2025-08,24
Portugal,2025-10,10
Romania,2023-05,15
Romania,2023-06,6
Romania,2023-07,5
Romania,2023-09,3
Romania,2023-10,2
Romania,2023-12,1
Romania,2024-03,4
Romania,2024-04,35
Romania,2024-05,9
Romania,2024-06,16
Romania,2024-07,6
Romania,2024-08,1
Romania,2024-09,3
Romania,2024-10,11
Romania,2025-03,6
Romania,2025-04,53
Romania,2025-05,37
Romania,2025-06,36
Romania,2025-07,2
Romania,2025-08,40
Spain,2024-04,107
Spain,2024-05,35
Spain,2024-06,48
Spain,2024-07,30
Spain,2024-08,4
Spain,2024-09,18
Spain,2024-10,5
Spain,2025-03,48
Spain,2025-04,117
Spain,2025-05,239
Spain,2025-06,55
Spain,2025-07,13
Spain,2025-08,31
Spain,2025-09,6
Spain,2025-10,14
Sweden,2020-02,4
Sweden,2020-07,1
Sweden,2020-11,4
Sweden,2021-04,5
Sweden,2021-10,7
Sweden,2022-07,2
Sweden,2022-10,13
Sweden,2022-11,11
Sweden,2022-12,3
Sweden,2023-04,2
Sweden,2023-05,34
Sweden,2023-06,6
Sweden,2023-07,32
Sweden,2023-08,45
Sweden,2023-09,102
Sweden,2023-10,143
Sweden,2023-12,7
Sweden,2024-01,12
Sweden,2024-02,28
Sweden,2024-03,5
Sweden,2024-04,45
Sweden,2024-05,61
Sweden,2024-06,46
Sweden,2024-07,66
Sweden,2024-08,148
Sweden,2024-09,32
Sweden,2024-10,107
Sweden,2024-11,37
Sweden,2024-12,22
Sweden,2025-01,11
Sweden,2025-03,35
Sweden,2025-04,46
Sweden,2025-05,64
Sweden,2025-06,86
Sweden,2025-07,5
Sweden,2025-08,30
Sweden,2025-10,10
Sweden,2025-11,8
United Kingdom,2019-12,1
United Kingdom,2020-02,4
United Kingdom,2020-04,16
United Kingdom,2020-05,35
United Kingdom,2020-06,9
United Kingdom,2020-07,16
United Kingdom,2020-10,3
United Kingdom,2020-11,4
United Kingdom,2020-12,4
United Kingdom,2021-10,3
United Kingdom,2021-11,3
United Kingdom,2021-12,2
United Kingdom,2022-01,11
United Kingdom,2022-06,1
United Kingdom,2022-11,2
United Kingdom,2022-12,8
United Kingdom,2023-01,4
United Kingdom,2023-07,36
United Kingdom,2023-09,10
United Kingdom,2023-10,16
United Kingdom,2023-12,32
United Kingdom,2024-03,12
United Kingdom,2024-04,48
United Kingdom,2024-06,14
United Kingdom,2024-07,14
United Kingdom,2024-08,43
United Kingdom,2024-09,2
United Kingdom,2024-10,11
United Kingdom,2024-11,6
United Kingdom,2024-12,5
United Kingdom,2025-01,5
United Kingdom,2025-03,9
United Kingdom,2025-04,4
United Kingdom,2025-05,25
United Kingdom,2025-06,30
United Kingdom,2025-07,1
United Kingdom,2025-08,22
United Kingdom,2025-09,29
United Kingdom,2025-10,43
